Weights,Prices,Capacity,Best picks,Best price
[46 40 42 38 10],[12 19 19 15  8],40,[0. 1. 0. 0. 0.],19.0
[11 31  4  6  7],[ 2  8 18 16  3],64,[1. 1. 1. 1. 1.],47.0
[32 49 27 37 24],[19 16 16  4  1],87,[1. 0. 1. 0. 1.],36.0
[20 35 22 23 16],[19 17 19  9  1],21,[1. 0. 0. 0. 0.],19.0
[ 7 12 19 13 20],[10 11 18 15  5],50,[0. 1. 1. 1. 0.],44.0
[27 10 25 25  7],[13 19  7 16  3],66,[1. 1. 0. 1. 0.],48.0
[21  2 33 45 26],[ 1 14 10  6 13],80,[0. 1. 1. 0. 1.],37.0
[37 27 39 14 25],[18  7 15  4 13],35,[0. 0. 0. 0. 1.],13.0
[ 1 48  4 23 39],[ 9  4 10 16 12],51,[1. 0. 1. 1. 0.],35.0
[ 4  3 22  9 32],[14  6  3 17  8],53,[1. 1. 0. 1. 1.],45.0
[11 10 25 34 13],[16  3  4 18  3],98,[1. 1. 1. 1. 1.],44.0
[18 47 20  9 39],[ 7  4 17 19  3],67,[1. 0. 1. 1. 0.],43.0
[34 46 20 45  3],[ 6  6 10  2 14],92,[1. 0. 1. 0. 1.],30.0
[28 21  7 48 47],[ 3 19  1 15 18],82,[0. 1. 1. 0. 1.],38.0
[27 18 11 32 47],[10  4 12  4  1],18,[0. 0. 1. 0. 0.],12.0
[36 41  1 46 40],[17  6  1 10  8],42,[1. 0. 1. 0. 0.],18.0
[42 24 41 28 31],[16 15 12 19  1],44,[0. 0. 0. 1. 0.],19.0
[10 37 24 25 41],[ 1  6 19  9  1],92,[0. 1. 1. 1. 0.],34.0
[22 30 16 18 37],[10 16 16 17 12],63,[1. 0. 1. 1. 0.],43.0
[40 35 24 28 27],[19 13 16  3  2],86,[1. 0. 1. 0. 0.],35.0
[ 4  4 21 23 38],[18 11 18  1 18],86,[1. 1. 1. 0. 1.],65.0
[29 28 46 37 15],[2 3 3 1 5],58,[0. 1. 0. 0. 1.],8.0
[26 14  6 34  1],[18  7 17  3  9],36,[1. 0. 1. 0. 1.],44.0
[42 47 37 13 15],[ 6 10 16  8 18],76,[0. 0. 1. 1. 1.],42.0
[16 24 29 22  5],[10  6 13  8  8],83,[1. 0. 1. 1. 1.],39.0
[20  2 17 14  2],[1 4 8 9 5],95,[1. 1. 1. 1. 1.],27.0
[21  9  9  8  6],[5 2 9 7 6],73,[1. 1. 1. 1. 1.],29.0
[48 41 21 29 16],[11  9  5  1  7],85,[1. 0. 1. 0. 1.],23.0
[16  1 11  1  1],[ 8  3  6  6 12],30,[1. 1. 1. 1. 1.],35.0
[18 26  4 22 35],[13 14  1 14  3],61,[0. 1. 1. 1. 0.],29.0
[24 41 22 18 26],[ 2 11  3 11  5],45,[0. 0. 0. 1. 1.],16.0
[18  2 19 19 28],[ 9 15  7  3  7],73,[1. 1. 1. 0. 1.],38.0
[41 33  4 23 38],[17  4  2 12 17],38,[0. 0. 0. 0. 1.],17.0
[ 6 29 39 10 36],[14  2  3 12 17],66,[1. 0. 0. 1. 1.],43.0
[25 38 49 33 11],[11 15  5 13  1],15,[0. 0. 0. 0. 1.],1.0
[14 24  9 47 17],[ 9  9 18 17 10],72,[1. 1. 1. 0. 1.],46.0
[ 2 39 30  6 20],[13 14  1 10 15],60,[1. 0. 1. 1. 1.],39.0
[19 25  1 35 22],[18  3  8  2  4],37,[1. 0. 1. 0. 0.],26.0
[29 47 43 30 43],[ 1  9 17  6  4],79,[0. 0. 1. 1. 0.],23.0
[42 27 11 42 15],[5 1 1 8 5],72,[0. 0. 1. 1. 1.],14.0
[ 4 10 42 24 12],[ 4  9  3 17 17],49,[0. 1. 0. 1. 1.],43.0
[20 26 46 22 48],[17  9 11 14  3],21,[1. 0. 0. 0. 0.],17.0
[17 10 17  2 14],[12 19  4 15  7],52,[1. 1. 0. 1. 1.],53.0
